"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 10월 17일","2,077.94","2,081.76","2,087.15","2,072.49","314.18M","-0.23%"
"2019년 10월 16일","2,082.83","2,080.92","2,090.01","2,073.80","524.54M","0.71%"
"2019년 10월 15일","2,068.17","2,064.78","2,073.21","2,064.34","464.53M","0.04%"
"2019년 10월 14일","2,067.40","2,068.13","2,075.10","2,065.53","511.22M","1.11%"
"2019년 10월 11일","2,044.61","2,048.08","2,053.94","2,040.48","381.15M","0.81%"
"2019년 10월 10일","2,028.15","2,030.13","2,040.88","2,010.90","445.85M","-0.88%"
"2019년 10월 08일","2,046.25","2,029.37","2,046.81","2,024.63","437.52M","1.21%"
"2019년 10월 07일","2,021.73","2,031.53","2,034.94","2,016.19","322.18M","0.05%"
"2019년 10월 04일","2,020.69","2,028.40","2,039.43","2,020.69","402.94M","-0.55%"
"2019년 10월 02일","2,031.91","2,058.23","2,058.23","2,031.91","414.46M","-1.95%"
"2019년 10월 01일","2,072.42","2,062.44","2,077.48","2,057.91","389.34M","0.45%"
"2019년 09월 30일","2,063.05","2,045.77","2,064.99","2,042.01","327.62M","0.64%"
"2019년 09월 27일","2,049.93","2,066.96","2,066.96","2,044.75","285.94M","-1.19%"
"2019년 09월 26일","2,074.52","2,082.66","2,087.33","2,064.34","430.58M","0.05%"
"2019년 09월 25일","2,073.39","2,093.47","2,095.27","2,072.41","651.55M","-1.32%"
"2019년 09월 24일","2,101.04","2,090.19","2,101.63","2,085.91","535.77M","0.45%"
"2019년 09월 23일","2,091.70","2,087.70","2,095.54","2,085.60","420.95M","0.01%"
"2019년 09월 20일","2,091.52","2,080.86","2,092.37","2,077.30","589.92M","0.54%"
"2019년 09월 19일","2,080.35","2,070.53","2,089.81","2,070.53","493.04M","0.46%"
"2019년 09월 18일","2,070.73","2,064.42","2,075.63","2,058.52","613.15M","0.41%"
"2019년 09월 17일","2,062.33","2,058.72","2,066.33","2,055.17","508.00M","0.01%"
"2019년 09월 16일","2,062.22","2,056.26","2,062.22","2,044.80","493.52M","0.64%"
"2019년 09월 11일","2,049.20","2,043.72","2,050.80","2,040.04","429.08M","0.84%"
"2019년 09월 10일","2,032.08","2,024.79","2,034.28","2,021.58","504.39M","0.62%"
"2019년 09월 09일","2,019.55","2,013.38","2,029.80","2,013.28","511.82M","0.52%"
"2019년 09월 06일","2,009.13","2,016.11","2,017.20","2,005.69","384.44M","0.22%"
"2019년 09월 05일","2,004.75","1,993.62","2,015.39","1,992.51","488.07M","0.82%"
