word,counts
빅데이터,52
플라이빗,52
변경,52
15년,52
범죄단체조직죄,52
피해액,51
최저치,51
게임업계,51
터치,51
5월,51
실험,51
이젠,51
돼,51
창시자,51
사회,51
완화,51
금융상품,51
월,51
대거,51
웰컴,51
대마,51
집행유예,51
부자,51
황교안,51
모건스탠리,51
거래액,51
발의,51
투자로,51
수천억대,51
버핏,51
행사,51
불허,51
채택,50
손잡고,50
전격,50
시장에,50
크립토재킹,50
내재가치,50
추월,50
누가,50
환치기,50
다양한,50
블록체인이,50
빚투,50
전기차,50
비판,50
예상,50
기존,50
개편,50
경북도,50
우리,50
확진자,50
10억,50
참석,50
스타벅스,50
M,50
기업들,50
블록체인의,50
신상,50
성료,49
K,49
있나,49
다음,49
신간,49
폭탄,49
주말,49
장세,49
하반기,49
김병욱,49
인상,49
반대,49
신임,49
불가피,49
역할,49
상승에,49
국민청원,49
비트코인의,49
법안,49
저커버그,49
증세,49
개,49
시급,49
흡입,49
라이프,49
기본소득박람회,49
몰수,49
5G,49
금값,49
참가,49
보상,49
몰타,49
레이더,49
핫이슈,48
규정,48
살,48
나는,48
여성,48
잇단,48
TF,48
제주,48
오류,48
의심,48
거래소에,48
인사이트,48
기념,48
현직,48
오른,48
꼭,48
30분,48
사실상,48
방향,48
저항선,48
4일,48
액면분할,48
블록체인협회,48
가담,48
12,48
범행,48
제시,48
황소,48
빼돌려,48
갓갓,48
도난,48
윤석헌,48
최초로,47
책임,47
이용한,47
내일,47
먹튀,47
공매도,47
커뮤니티,47
정보보호,47
급등락,47
공포,47
접속,47
이틀,47
김치프리미엄,47
피의자,47
개미들,47
코스닥,47
500만원,47
수상,47
결과,47
IoT,47
감염,47
그라운드X,47
받아,47
30%,47
월렛,47
조작,47
8일,47
도시,47
발간,47
3000만원,47
통합,47
11월,47
SCI평가정보,47
발전,47
정황,47
에이티넘인베스트,46
경매,46
버블,46
누구,46
행진,46
모니터링,46
비트코인과,46
5배,46
개미,46
공유,46
거리두기,46
어려워,46
현장,46
단기,46
20,46
체포,46
2000만원,46
비바100,46
허위,46
비상,46
사업자,46
노린다,46
1심서,46
애널리스트,46
선봬,46
14개,46
ICT,46
샌드박스,46
