"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 19일","696.36","696.01","696.39","687.67","1.82B","0.80%"
"2020년 05월 18일","690.85","695.17","695.90","688.88","1.47B","-0.16%"
"2020년 05월 15일","691.93","695.80","696.91","686.23","1.36B","0.20%"
"2020년 05월 14일","690.57","687.92","693.68","684.33","1.57B","-0.14%"
"2020년 05월 13일","691.53","676.53","691.57","676.24","1.51B","1.07%"
"2020년 05월 12일","684.21","687.48","688.37","673.66","1.49B","-0.12%"
"2020년 05월 11일","685.04","686.81","690.34","676.60","1.54B","0.40%"
"2020년 05월 08일","682.30","674.01","682.94","673.52","1.68B","2.11%"
"2020년 05월 07일","668.17","659.45","669.03","658.93","1.74B","1.48%"
"2020년 05월 06일","658.40","650.15","658.40","647.52","1.51B","2.57%"
"2020년 05월 04일","641.91","637.00","648.57","635.16","1.28B","-0.51%"
"2020년 04월 29일","645.18","646.33","648.42","644.06","1.69B","0.04%"
"2020년 04월 28일","644.93","649.46","651.39","638.69","1.77B","-0.30%"
"2020년 04월 27일","646.86","638.90","647.11","638.58","1.72B","2.20%"
"2020년 04월 24일","632.96","640.19","645.22","629.12","1.78B","-1.68%"
"2020년 04월 23일","643.79","640.13","645.54","637.33","1.66B","1.36%"
"2020년 04월 22일","635.16","618.95","635.31","616.88","1.46B","1.02%"
"2020년 04월 21일","628.77","634.76","641.07","602.05","2.16B","-1.42%"
"2020년 04월 20일","637.82","635.71","643.05","634.20","1.57B","0.48%"
"2020년 04월 17일","634.79","631.34","634.79","628.05","1.64B","1.82%"
"2020년 04월 16일","623.43","606.69","623.59","603.15","1.37B","2.15%"
"2020년 04월 14일","610.29","605.14","611.36","602.05","1.60B","2.28%"
"2020년 04월 13일","596.71","609.94","611.06","596.71","2.01B","-2.38%"
"2020년 04월 10일","611.26","617.75","618.08","593.01","2.00B","-0.76%"
"2020년 04월 09일","615.95","616.67","618.37","610.66","1.81B","1.41%"
"2020년 04월 08일","607.37","604.46","615.32","599.30","2.36B","0.08%"
"2020년 04월 07일","606.90","606.21","606.90","593.22","2.11B","1.62%"
"2020년 04월 06일","597.21","579.25","597.21","577.83","1.53B","4.22%"
"2020년 04월 03일","573.01","571.29","576.27","564.02","1.37B","0.94%"
"2020년 04월 02일","567.70","555.40","567.70","542.75","1.68B","2.87%"
"2020년 04월 01일","551.84","568.88","579.76","551.30","1.90B","-3.03%"
"2020년 03월 31일","569.07","551.48","569.07","551.25","1.87B","4.97%"
"2020년 03월 30일","542.11","513.13","542.12","511.47","1.43B","3.69%"
"2020년 03월 27일","522.83","535.94","540.04","502.48","1.98B","1.20%"
"2020년 03월 26일","516.61","506.51","533.33","501.82","1.65B","2.16%"
"2020년 03월 25일","505.68","496.32","506.43","488.98","1.44B","5.26%"
"2020년 03월 24일","480.40","457.21","480.40","454.24","1.14B","8.26%"
"2020년 03월 23일","443.76","443.51","455.97","435.81","1.09B","-5.13%"
"2020년 03월 20일","467.75","443.88","467.75","435.11","1.24B","9.20%"
"2020년 03월 19일","428.35","501.59","502.12","419.55","1.65B","-11.71%"
"2020년 03월 18일","485.14","520.79","526.10","485.14","1.32B","-5.75%"
"2020년 03월 17일","514.73","488.02","518.72","483.51","1.37B","2.03%"
"2020년 03월 16일","504.51","538.68","541.87","504.51","1.20B","-3.72%"
"2020년 03월 13일","524.00","536.62","540.30","487.07","1.52B","-7.01%"
"2020년 03월 12일","563.49","589.20","594.32","555.47","1.64B","-5.39%"
"2020년 03월 11일","595.61","621.12","622.07","591.38","1.57B","-3.93%"
"2020년 03월 10일","619.97","606.89","619.98","604.51","1.43B","0.87%"
"2020년 03월 09일","614.60","631.13","632.52","614.58","1.32B","-4.38%"
"2020년 03월 06일","642.72","642.33","647.83","637.20","1.11B","-1.15%"
"2020년 03월 05일","650.19","647.75","650.81","643.97","1.08B","1.32%"
"2020년 03월 04일","641.73","623.75","641.73","623.55","1.10B","2.38%"
"2020년 03월 03일","626.82","641.65","641.77","626.71","1.23B","-0.13%"
"2020년 03월 02일","627.66","617.88","627.71","607.32","1.19B","2.77%"
"2020년 02월 28일","610.73","626.36","631.25","608.38","1.39B","-4.30%"
"2020년 02월 27일","638.17","654.61","660.89","634.79","1.23B","-2.51%"
"2020년 02월 26일","654.63","644.02","658.29","642.98","1.14B","-0.35%"
"2020년 02월 25일","656.95","639.28","656.96","633.65","1.21B","2.76%"
"2020년 02월 24일","639.29","653.40","656.31","639.22","1.48B","-4.30%"
"2020년 02월 21일","667.99","673.57","680.28","667.47","1.43B","-2.01%"
"2020년 02월 20일","681.66","687.65","688.51","677.99","1.46B","-0.46%"
"2020년 02월 19일","684.78","686.89","688.11","673.64","1.60B","0.27%"
"2020년 02월 18일","682.92","691.42","692.52","681.44","1.78B","-1.40%"
"2020년 02월 17일","692.59","690.35","692.64","686.73","1.52B","0.53%"
"2020년 02월 14일","688.91","687.23","692.00","685.67","1.50B","0.19%"
"2020년 02월 13일","687.61","689.54","691.43","681.77","1.35B","0.15%"
"2020년 02월 12일","686.59","683.26","686.79","680.26","1.33B","0.62%"
"2020년 02월 11일","682.34","678.97","682.34","678.43","1.17B","0.93%"
"2020년 02월 10일","676.07","669.53","676.08","668.10","979.10M","0.51%"
"2020년 02월 07일","672.63","673.11","674.03","667.93","1.02B","-0.01%"
"2020년 02월 06일","672.69","665.94","672.69","665.88","946.33M","1.72%"
"2020년 02월 05일","661.32","666.74","668.91","658.03","991.28M","0.01%"
"2020년 02월 04일","661.24","650.72","661.24","649.22","938.25M","2.22%"
"2020년 02월 03일","646.85","631.82","648.34","627.65","1.19B","0.68%"
"2020년 01월 31일","642.48","660.98","664.77","641.57","1.34B","-2.12%"
"2020년 01월 30일","656.39","670.65","673.17","652.42","1.21B","-2.06%"
"2020년 01월 29일","670.18","671.08","671.98","664.09","1.06B","0.82%"
"2020년 01월 28일","664.70","660.79","668.22","658.78","1.16B","-3.04%"
"2020년 01월 23일","685.57","685.94","687.71","683.52","957.78M","-0.39%"
"2020년 01월 22일","688.25","677.05","688.28","677.05","1.01B","1.73%"
"2020년 01월 21일","676.52","683.82","685.89","675.48","1.03B","-1.02%"
"2020년 01월 20일","683.47","690.85","691.17","682.48","1.02B","-0.72%"
"2020년 01월 17일","688.41","689.73","690.61","686.68","1.03B","0.28%"
"2020년 01월 16일","686.52","679.67","686.52","679.49","880.29M","1.08%"
"2020년 01월 15일","679.16","678.83","681.39","676.91","908.21M","0.07%"
"2020년 01월 14일","678.71","682.14","685.88","676.78","897.26M","-0.08%"
"2020년 01월 13일","679.22","673.76","679.22","673.23","894.40M","0.92%"
"2020년 01월 10일","673.03","668.79","673.03","665.92","837.39M","1.04%"
"2020년 01월 09일","666.09","657.01","666.09","656.25","980.62M","3.92%"
"2020년 01월 08일","640.94","657.24","658.14","637.43","1.38B","-3.39%"
"2020년 01월 07일","663.44","660.87","664.21","659.18","970.31M","1.24%"
"2020년 01월 06일","655.31","660.08","663.10","653.61","884.28M","-2.18%"
"2020년 01월 03일","669.93","677.57","679.37","668.10","903.86M","-0.61%"
"2020년 01월 02일","674.02","672.53","674.30","666.62","783.73M","0.63%"
"2019년 12월 30일","669.83","662.06","669.83","661.62","789.33M","1.30%"
"2019년 12월 27일","661.24","652.60","661.59","652.17","807.71M","1.41%"
"2019년 12월 26일","652.07","640.77","652.09","640.20","921.88M","2.06%"
"2019년 12월 24일","638.91","648.71","648.71","638.74","763.09M","-1.34%"
"2019년 12월 23일","647.62","651.77","652.81","646.68","725.86M","-0.32%"
"2019년 12월 20일","649.73","650.19","651.20","647.90","944.57M","0.29%"
"2019년 12월 19일","647.85","650.30","653.65","645.11","808.15M","-0.17%"
"2019년 12월 18일","648.95","650.87","651.71","647.73","882.12M","-0.25%"
"2019년 12월 17일","650.58","646.80","650.58","646.04","851.06M","0.95%"
"2019년 12월 16일","644.44","644.91","646.56","643.24","794.17M","0.15%"
"2019년 12월 13일","643.45","643.34","645.73","641.87","913.75M","1.02%"
"2019년 12월 12일","636.94","632.29","638.92","631.25","941.20M","1.24%"
"2019년 12월 11일","629.13","627.26","630.60","626.57","817.89M","0.32%"
"2019년 12월 10일","627.11","627.62","627.76","623.54","763.03M","-0.12%"
"2019년 12월 09일","627.86","630.60","630.63","625.59","778.73M","-0.04%"
"2019년 12월 06일","628.10","619.48","628.11","619.48","726.66M","1.70%"
"2019년 12월 05일","617.60","629.49","629.60","613.77","901.71M","-1.23%"
"2019년 12월 04일","625.27","626.06","630.45","622.67","928.17M","-0.68%"
"2019년 12월 03일","629.58","630.07","632.01","627.00","868.95M","-0.78%"
"2019년 12월 02일","634.50","635.58","638.35","632.22","845.65M","0.24%"
"2019년 11월 29일","632.99","641.72","643.27","631.40","940.62M","-1.12%"
"2019년 11월 28일","640.18","646.27","649.37","640.18","882.47M","-1.11%"
"2019년 11월 27일","647.39","653.74","653.87","646.89","859.36M","-0.64%"
"2019년 11월 26일","651.59","650.79","653.54","649.78","868.85M","0.65%"
"2019년 11월 25일","647.40","639.50","647.41","639.50","826.79M","2.13%"
"2019년 11월 22일","633.92","637.99","640.77","629.74","1.05B","-0.33%"
"2019년 11월 21일","635.99","650.56","651.23","634.29","1.05B","-2.14%"
"2019년 11월 20일","649.87","661.45","663.76","648.82","1.29B","-1.91%"
"2019년 11월 19일","662.53","669.11","669.24","662.24","1.16B","-1.02%"
